Group by year	RD Group	Gene ID	Accession No	New locus tag	Publication date	Reference	Earliest Date	Name on tree Perez de Mora et al.	Note1	Note2	Spcies 	Organism/strain	Protein Name	Characteristics
2004_19	26	8658261VS  	WP_012881445	DHCVS_RS06520	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1336	VS_1336			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
	63	8658265VS	WP_012882577								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
	64	8658269VS	WP_012882580								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
	65	8658272VS	ACZ62446								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
	66	8658274VS	WP_012882585								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_15	22	8658278VS 	WP_012882589	DHCVS_RS06600	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1353	VS_1353			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2005_3	31	8658285VS 	WP_012882596		1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1360	VS_1360			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
	69	8658300VS	WP_012882611								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2005_10	38	8658303VS 	WP_012882613	DHCVS_RS06725	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1378	VS_1378			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_12	19	8658308VS 	WP_012882618	DHCVS_RS06750	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1383	VS_1383			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2005_12	40	8658312VS	WP_012882622	DHCVS_RS06770	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1387	VS_1387			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2005_2	30	8658318VS 	WP_012882628	DHCVS_RS06795	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1393	VS_1393			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2005_6	34	8658324VS	WP_012882633	DHCVS_RS06825	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1399	VS_1399			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_4	11	8658327VS 	WP_012882636	DHCVS_RS06930	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1421	VS_1421			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_3	10	8658346VS 	WP_012882655.1	DHCVS_RS06930	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1421	VS_1421			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_10	17	8658352VS  	WP_012882660	DHCVS_RS06960	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1427	VS_1427	17_II subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_6	13	8658355VS 	WP_012882663	DHCVS_RS06975	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1430	VS_1430			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_8	15	8658361VS	ACZ62535	DHCVS_RS07005	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1436	VS_1436			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2008_2	42	A2cp1_0353	WP_012631767		1-Jan-09	NCBI direct submission					Anaeromyxobacter dehalogenans	Anaeromyxobacter dehalogenans 2CP-1		
2008_3	43	A2cp1_0355	WP_012631769		1-Jan-09	NCBI direct submission					Anaeromyxobacter dehalogenans	Anaeromyxobacter dehalogenans 2CP-1		
2000_1	2	AB194705	WP_019849417		1-Sep-05	Tsukagoshi, App. Mic. Biotech.					Desulfitobacterium sp.	Desulfitobacterium sp. KBC1		
2012_2	46	ACT3-rdh01-1	EQB22800		4-Jul-05	ST, this volume	4-Jul-05				Dehalobacter	Dehalobacter		
2012_2	46	ACT3-rdh02-1	EQB22800		4-Jul-05	ST, this volume					Dehalobacter	Dehalobacter		
2012_1	45	ACT3-rdh07	WP_015043207		4-Jul-05	ST, this volume					Dehalobacter CF	Dehalobacter CF		
2003_1	7	ACT3-rdh08	WP_015045247.1		4-Jul-05	ST, this volume					Dehalobacter CF	Dehalobacter CF		
2003_1	7	ACT3-rdh09r	WP_015045247.1		4-Jul-05	ST, this volume					Dehalobacter	Dehalobacter		
1998_1	6	ACT3-rdh12	WP_015043730.1		4-Jul-05	ST, this volume					Dehalobacter CF	Dehalobacter CF		
2000_2	1	AF022812	WP_148512140		1-Aug-00	NCBI direct submission					Sulfurospirillum multivorans	Sulfurospirillum multivorans		
2000_1	2	AF115542	WP_014792552		1-Jul-99	van de pas, jbc					Desulfitobacterium dehalogenans	Desulfitobacterium dehalogenans ATCC 51507	cprA	
2000_1	2	AF259790	AAG49543		1-Apr-00	NCBI direct submission					Desulfitobacterium sp.	Desulfitobacterium sp. PCE1		
2000_1	2	AF259791	AAG49544		1-Apr-00	NCBI direct submission					Desulfitobacterium sp.	Desulfitobacterium sp. Viet-1		
1998_1	6	AJ439608	CAD28792.1		1-Aug-03	Maillard, AEM					Dehalobacterium halfniense	Dehalobacterium halfniense		
2003_1	7	AJ539533	CAD62440.1		1-Jan-03	NCBI direct submission	1-Jan-03				Dehalobacter restrictus	Dehalobacter restrictus DSM 9455		
1998_1	6	AM183918	WP_015261904.1		1-May-07	Marzorati, AEM					Desulfitobacterium dichloroeliminans	Desulfitobacterium dichloroeliminans LMG P-21439 	dcaA	
2008_2	42	AnaeK_0341	WP_012524416		1-Aug-08	NCBI direct submission	1-Aug-08				Anaeromyxobacter dehalogenans	Anaeromyxobacter dehalogenans K		
2008_3	43	AnaeK_0343	ACG71585		1-Aug-08	NCBI direct submission	1-Aug-08				Anaeromyxobacter dehalogenans	Anaeromyxobacter dehalogenans K		
	76	AOV98763	AOV98763	DCWBC2_0088							Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	23	AOV98827	WP_011308794	DCWBC2_0154	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	22	AOV98866	WP_034376796	DCWBC2_0193	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	31	AOV99621	WP_011309542	DCWBC2_0994	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	17	AOV99914	AOV99914	DCWBC2_1302	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	12	AOV99916	AOV99916	DCWBC2_1304	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	8	AOV99943	AEI59432.1	DCWBC2_1333	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	37	AOV99955	WP_041344588	DCWBC2_1346	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	58	AOV99960	AOV99960	DCWBC2_1351	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	54	AOV99962	AOV99962	DCWBC2_1353	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	38	AOV99966	AOV99966	DCWBC2_1357	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	17	AOV99976	AOV99976	DCWBC2_1368	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	13	AOV99979	WP_015408026	DCWBC2_1371	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2016_1	15	AOV99987	WP_034376989	DCWBC2_1379	13-Oct-16	Molenda, Genome Announc.					Dehalococcoides mccartyi	Dehalococcoides mccartyi WBC-2		
2018	79	APV44777	WP_058439793			DOI:10.1099/ijsem.0.001819			EdbA homolog		Dehalogenimonas	Dehalogenimonas		
2018_8	34	ASJ33_RS00005	WP_041331565		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	11	ASJ33_RS00020	WP_041331569		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	10	ASJ33_RS00100	WP_041331586.1		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	13	ASJ33_RS00145	WP_023652877		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	15	ASJ33_RS00175	WP_041331600		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	23	ASJ33_RS01610	WP_041330544		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	82	ASJ33_RS01800	WP_080775287		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	12	ASJ33_RS07525	WP_023652767		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	67	ASJ33_RS07735	WP_023652806		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	80	ASJ33_RS07745	WP_023652808		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	68	ASJ33_RS08015	WP_072555823		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	34	ASJ33_RS08025	WP_041331518		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	18	ASJ33_RS08105	WP_041331829		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	68	ASJ33_RS08130	WP_041331507		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	34	ASJ33_RS08140	WP_041331518		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	55	ASJ33_RS08160	WP_041331523		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	83	ASJ33_RS08195	WP_080775295		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	69	ASJ33_RS08220	WP_041331540		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	33	ASJ33_RS08235	WP_041331542		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	19	ASJ33_RS08260	WP_041331547		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2018_8	40	ASJ33_RS08280	WP_041331556		6-Apr-17	NCBI					Dehalococcoides mccartyi	Dehalococcoides mccartyi CG3		
2000_1	2	AY013360	AAG46187		1-Nov-00	NCBI direct submission					Desulfitobacterium sp.	Desulfitobacterium sp. PCE1		
2000_4	3	AY013361	AAG46188		1-Nov-00	NCBI direct submission					Desulfitobacterium sp.	Desulfitobacterium sp. PCE1		
2000_5	4	AY013362	WP_015942972		1-Nov-00	NCBI direct submission					Desulfitobacterium hafniense	Desulfitobacterium hafniense TCE1		
2000_4	3	AY013363	AAG48370		1-Nov-00	NCBI direct submission	1-Nov-00				Desulfitobacterium dehalogenans	Desulfitobacterium dehalogenans		
2000_5	4	AY013364	AAG46190		1-Nov-00	NCBI direct submission					Desulfitobacterium hafniense	Desulfitobacterium hafniense PCP-1		
2000_1	2	AY013365	WP_019849417		1-Aug-00	NCBI direct submission	1-Apr-00				Desulfitobacterium hafniense	Desulfitobacterium hafniense DCB-2		
2000_5	4	AY013366	AAG46193		1-Nov-00	NCBI direct submission					Desulfitobacterium hafniense	Desulfitobacterium hafniense DCB-2		
2000_2	1	AY013367	AAG46194		1-Aug-00	NCBI direct submission	1-Aug-00				Sulfurospirillum halorespirans	Sulfurospirillum halorespirans PCE-M2		
2000_6	5	AY165309	AAN85588		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
1998_1	6	AY216592	AAO60101.1		1-Jun-98	Miller, Arch Micro	1-Jan-02				Desulfitobacterium sp.	Desulfitobacterium sp. PCE-S		
2004_2	9	AY349165	WP_018307567.1		1-Aug-04	Thibodeau, AEM					Desulfitobacterium hafniense	Desulfitobacterium hafniense PCP-1	cprA	
2004_3	10	AY374245	AAR24325.1		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_4	11	AY374246	AAR24327		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_5	12	AY374247	BAG72160		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_6	13	AY374248	BAS32509		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_7	14	AY374249	AAR24333		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_8	15	AY374250	WP_034376989		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_9	16	AY374251	AAR24337		1-Sep-04	Holscher, AEM	1-Sep-04				Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_10	17	AY374252	WP_011309827		1-Sep-04	Holscher, AEM			17_I subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_11	18	AY374253	AAR24341		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2004_12	19	AY374254	AAR24343		1-Sep-04	Holscher, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi FL2		
2018_8	8	B1772_06705	AQY73737.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2004_13	20	BAV1_0104	WP_011308708	DEHABAV1_RS00595	1-Oct-04	Krajmalnik-Brown, AEM	1-Oct-04				Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2004_14	21	BAV1_0112	WP_011928631	DEHABAV1_RS00635	1-Oct-04	Krajmalnik-Brown, AEM	1-Oct-04				Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
	60	BAV1_0119	WP_011928637	DEHABAV1_RS00670							Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2004_15	22	BAV1_0121	WP_011308832	DEHABAV1_RS00680	1-Oct-04	Krajmalnik-Brown, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2004_16	23	BAV1_0173	WP_011928681	DEHABAV1_RS00945	1-Oct-04	Krajmalnik-Brown, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2004_17	24	BAV1_0276	WP_011928754	DEHABAV1_RS01540	1-Oct-04	Krajmalnik-Brown, AEM	1-Oct-04				Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1	bvcA	
2004_18	25	BAV1_0281	WP_011928759	DEHABAV1_RS01565	1-Oct-04	Krajmalnik-Brown, AEM	1-Oct-04				Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2004_19	26	BAV1_0284	WP_011928762	DEHABAV1_RS01580	1-Oct-04	Krajmalnik-Brown, AEM	1-Oct-04				Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2004_20	27	BAV1_0296	WP_011928769	DEHABAV1_RS01640	1-Oct-04	Krajmalnik-Brown, AEM	1-Oct-04				Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2004_21	28	BAV1_0847	WP_011929137	DEHABAV1_RS04470	1-Oct-04	Krajmalnik-Brown, AEM					Dehalococcoides mccartyi	Dehalococcoides mccartyi BAV1		
2018	79	BRE15M_v1_110003			In prep.	In prep.			Ethylene dibromide (1,2-dibromoethane, [EDB]) dehalogenase = EdbA		Dehalogenimonas	Dehalogenimonas		
2005_3	31	btf_1057	WP_015407127	BTF_RS05190	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_16	23	btf_121	WP_011928681	BTF_RS00595	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_9	16	btf_1393	WP_015407954	BTF_RS06835	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_1	8	btf_1407	WP_015407966.1	BTF_RS06905	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2014_11	55	btf_1409	WP_015407968	BTF_RS06915	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2005_4	32	btf_1440	WP_015407988	BTF_RS07060	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_12	19	btf_1443	WP_015407990	BTF_RS07075	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_11	18	btf_1446	WP_015407993	BTF_RS07090	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2005_12	40	btf_1449	WP_015407995	BTF_RS07105	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2005_2	30	btf_1454	WP_011309950	BTF_RS07130	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2005_6	34	btf_1460	WP_015408004	BTF_RS07160	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_4	11	btf_1463	WP_011309959	BTF_RS07175	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_3	10	btf_1481	WP_015408019.1	BTF_RS07260	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_10	17	btf_1488	WP_015408023	BTF_RS07290	Jun-13	Poritz FEMS Microbiol lett			17_II subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_6	13	btf_1491	WP_015408026	BTF_RS07305	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2004_8	15	btf_1497	WP_015408031	BTF_RS07335	Jun-13	Poritz FEMS Microbiol lett					Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
	5	btf_185	WP_015407437	BTF_RS00905							Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2014_11	54	btf_1436	WP_015407985.1	BTF_RS07040							Dehalococcoides mccartyi	Dehalococcoides mccartyi BTF08		
2014_5	47	cbdb_A243	YP_307395.1	CBDB_RS00995	1-Oct-05	Kube, Nat. Biotech	1-Oct-05				Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_3	31	cbdbA1092	WP_011309542								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_10	17	cbdbA1453	WP_011309827								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_5	12	cbdbA1455	WP_011309829								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_8	36	cbdbA1495	WP_011309863								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_9	37	cbdbA1535	WP_011309901								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2016_1	58	cbdbA1539	WP_011309906								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
	59	cbdbA1542	WP_011309909								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2014_11	54	cbdbA1546	AOV99962								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_10	38	cbdbA1550	WP_011309917								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_7	14	cbdbA1560	WP_011309926								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_11	39	cbdbA1563	WP_011309929								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_5	33	cbdbA1570	WP_011309936								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_4	32	cbdbA1575	WP_011309940								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_12	19	cbdbA1578	WP_011309943								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_12	40	cbdbA1582	WP_011309945								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_2	30	cbdbA1588	WP_011309950								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2005_6	34	cbdbA1595	WP_011309956								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_4	11	cbdbA1598	WP_015408006								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_3	10	cbdbA1618	WP_011309976.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_10	17	cbdbA1624	WP_011309982								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_6	13	cbdbA1627	WP_011309985								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_8	15	cbdbA1638	WP_011309991								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_16	23	cbdbA187	WP_011308794								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_15	22	cbdbA238	WP_011308832								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2014_11	52	cbdbA80	WP_011308698								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2014_11	53	cbdbA84	WP_011308703						trichlorobenzene reductase CbrA		Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1	cbrA	
2004_13	20	cbdbA88	WP_011308708								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2004_14	21	cbdbA96	WP_011308716								Dehalococcoides mccartyi	Dehalococcoides mccartyi CBDB1		
2009_2	44	CD1958 	EQE04755		1-Aug-11	Monot, J Med Microbiol					Clostridium difficile	Clostridium difficile 630		
2009_2	44	CD196_1838 	EQE04755		1-Sep-09	Stabler, Genome Biol	1-Sep-09				Clostridium difficile	Clostridium difficile R20291		
2014	29	CG1_X792_00440	WP_023651751								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	21	CG1_X792_00540	WP_023651758								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	23	CG1_X792_01310	WP_041330544								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	12	CG1_X792_06955	WP_023652767								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	61	CG1_X792_07135	WP_041331433								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	62	CG1_X792_07145	WP_041331437								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	63	CG1_X792_07165	WP_041331443								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	64	CG1_X792_07175	WP_041331444								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	65	CG1_X792_07215	WP_041331453								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	66	CG1_X792_07225	WP_041331455								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	20	CG1_X792_07240	WP_041331460								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	67	CG1_X792_07240	WP_041331460								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	18	CG1_X792_07370	WP_041331829								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	68	CG1_X792_07395	WP_041331507								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	34	CG1_X792_07405	WP_041331518								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	55	CG1_X792_07425	WP_041331523								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	69	CG1_X792_07485	WP_041331540								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	33	CG1_X792_07500	WP_041331542								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	19	CG1_X792_07525	WP_041331547								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	40	CG1_X792_07545	WP_041331556								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	30	CG1_X792_07570	WP_041331559								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	34	CG1_X792_07605	WP_041331565								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	11	CG1_X792_07620	WP_041331569								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2014	10	CG1_X792_07710	WP_041331586.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
